                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1949,                 1.9444,                 1.3416,                0.42349,                0.28922,                0.21868,                0.09534,                 1.3481,                 7.0299,                 1.5802,             0.00036928,             0.00036928,             0.00036928
                      2,                 1.4548,                 2.1269,                 1.5453,                0.49964,                0.21519,                0.21355,                0.11175,                 1.3457,                 2.6259,                 1.4818,             0.00073046,             0.00073046,             0.00073046
                      3,                 1.3863,                 1.9907,                 1.5085,                0.47597,                0.35228,                0.28302,                0.17529,                  1.187,                 2.4821,                 1.3621,              0.0010825,              0.0010825,              0.0010825
                      4,                 1.3071,                 1.8518,                 1.4502,                0.56647,                0.25914,                0.24588,                0.16074,                 1.2003,                 2.7169,                 1.3989,              0.0010698,              0.0010698,              0.0010698
                      5,                 1.2609,                 1.7242,                 1.4123,                0.61502,                0.39192,                0.36599,                0.22846,                 1.1465,                 1.6966,                 1.3319,              0.0010698,              0.0010698,              0.0010698
                      6,                  1.201,                 1.5995,                 1.3691,                0.38249,                 0.4763,                0.42931,                0.31492,                 1.0544,                 1.5871,                 1.2945,               0.001056,               0.001056,               0.001056
                      7,                 1.1696,                 1.4973,                 1.3407,                0.45971,                0.44743,                0.43193,                0.31067,                 1.0452,                 1.4982,                 1.2692,              0.0010423,              0.0010423,              0.0010423
                      8,                 1.1419,                 1.4618,                 1.3275,                0.40651,                0.65285,                0.45097,                0.28062,                 1.0149,                 1.6245,                 1.2486,              0.0010285,              0.0010285,              0.0010285
                      9,                  1.123,                 1.4007,                 1.3066,                0.72239,                0.42579,                0.45005,                 0.3318,                 1.0236,                 1.3838,                 1.2437,              0.0010148,              0.0010148,              0.0010148
                     10,                 1.0978,                 1.3481,                 1.2955,                 0.7497,                0.55404,                 0.6519,                0.38614,                   1.03,                 1.4473,                 1.2555,               0.001001,               0.001001,               0.001001
                     11,                 1.0763,                 1.3056,                 1.2898,                0.46843,                0.48712,                0.47582,                0.35165,                0.93951,                 1.3204,                 1.1753,             0.00098726,             0.00098726,             0.00098726
                     12,                 1.0542,                 1.2768,                 1.2706,                0.46724,                0.74762,                0.52007,                0.39298,                0.96801,                 1.2268,                 1.2138,             0.00097351,             0.00097351,             0.00097351
                     13,                 1.0427,                  1.239,                 1.2681,                0.65019,                0.68757,                0.63118,                0.43954,                0.95899,                 1.2107,                 1.2234,             0.00095977,             0.00095977,             0.00095977
                     14,                 1.0059,                 1.1662,                 1.2419,                  0.504,                0.75671,                0.55903,                 0.4271,                0.95261,                 1.2845,                 1.2046,             0.00094602,             0.00094602,             0.00094602
                     15,                 1.0113,                 1.1817,                 1.2404,                0.64067,                0.73512,                0.70806,                0.51321,                0.90807,                 1.3939,                 1.1844,             0.00093227,             0.00093227,             0.00093227
