                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 1.0087,                 1.1323,                 1.2346,                0.72965,                0.67131,                0.73196,                0.55899,                0.91279,                 1.1525,                 1.1758,             0.00091852,             0.00091852,             0.00091852
                     17,                0.99438,                 1.1203,                 1.2265,                0.72177,                0.54369,                0.54454,                0.39509,                0.91038,                 1.2705,                 1.1804,             0.00090477,             0.00090477,             0.00090477
                     18,                0.97064,                 1.0728,                 1.2112,                0.55807,                0.53245,                0.55663,                0.42602,                0.91446,                 1.2094,                  1.174,             0.00089102,             0.00089102,             0.00089102
                     19,                0.97222,                 1.0581,                 1.2076,                0.57456,                0.80264,                0.65242,                0.49536,                0.85781,                 1.1041,                 1.1182,             0.00087727,             0.00087727,             0.00087727
                     20,                0.95599,                  1.045,                 1.1953,                0.62929,                0.68325,                0.61468,                0.44924,                0.93205,                 1.2021,                 1.2053,             0.00086352,             0.00086352,             0.00086352
                     21,                0.95149,                 1.0215,                 1.1962,                0.77586,                0.66321,                0.72987,                0.54384,                0.88678,                 1.1413,                 1.1422,             0.00084978,             0.00084978,             0.00084978
                     22,                0.95306,                 1.0123,                 1.1969,                 0.7928,                0.68435,                0.73848,                0.58742,                0.88439,                 1.2999,                 1.1403,             0.00083603,             0.00083603,             0.00083603
                     23,                0.93387,                 0.9849,                  1.186,                0.64519,                0.73548,                  0.639,                0.51209,                0.89636,                 1.1827,                 1.1646,             0.00082228,             0.00082228,             0.00082228
                     24,                 0.9299,                0.97519,                 1.1824,                0.56798,                0.54792,                0.56325,                0.42621,                0.87272,                 1.1048,                 1.1267,             0.00080853,             0.00080853,             0.00080853
                     25,                0.91674,                0.96052,                 1.1723,                0.55489,                 0.5759,                0.57601,                0.43926,                0.86704,                 1.0685,                 1.1246,             0.00079478,             0.00079478,             0.00079478
                     26,                 0.9163,                0.94737,                 1.1669,                0.62186,                0.52541,                0.56541,                 0.4332,                0.85303,                 1.0601,                 1.1112,             0.00078103,             0.00078103,             0.00078103
                     27,                0.90698,                0.92333,                 1.1646,                0.56609,                0.56377,                0.60098,                0.44761,                0.85731,                 1.0437,                 1.1224,             0.00076728,             0.00076728,             0.00076728
                     28,                0.89353,                0.90289,                  1.159,                0.76254,                0.76529,                0.75688,                0.56503,                0.86417,                 1.1833,                 1.1384,             0.00075354,             0.00075354,             0.00075354
                     29,                0.90057,                0.90862,                 1.1554,                0.77011,                0.76589,                0.76358,                0.59493,                0.90061,                  1.088,                 1.1606,             0.00073979,             0.00073979,             0.00073979
                     30,                0.88402,                0.85964,                 1.1519,                0.79505,                0.67436,                0.77101,                0.59142,                0.87379,                 1.0208,                 1.1427,             0.00072604,             0.00072604,             0.00072604
                     31,                0.88069,                0.85483,                   1.14,                0.59066,                0.79467,                0.66649,                0.52687,                0.86395,                 1.0451,                 1.1184,             0.00071229,             0.00071229,             0.00071229
                     32,                0.86958,                0.83218,                 1.1319,                0.75891,                0.66326,                0.73301,                0.57892,                 0.8787,                 1.2293,                 1.1416,             0.00069854,             0.00069854,             0.00069854
                     33,                0.85647,                0.81383,                 1.1313,                0.75354,                0.74235,                0.74919,                0.54216,                0.83195,                 1.1275,                 1.1065,             0.00068479,             0.00068479,             0.00068479
                     34,                0.86467,                0.82525,                 1.1392,                0.74388,                0.74778,                0.77355,                0.58486,                0.84632,                 1.0143,                 1.1222,             0.00067104,             0.00067104,             0.00067104
                     35,                0.85525,                0.80729,                 1.1353,                0.77723,                0.76096,                0.78812,                0.62221,                0.81138,                 0.9792,                 1.0854,              0.0006573,              0.0006573,              0.0006573
                     36,                0.85212,                0.80938,                 1.1176,                0.70796,                 0.7512,                0.69203,                0.54727,                 0.8139,                0.88362,                 1.0892,             0.00064355,             0.00064355,             0.00064355
                     37,                0.84979,                0.78865,                 1.1235,                0.63768,                0.77682,                0.63669,                0.51262,                0.81996,                0.97656,                 1.0823,              0.0006298,              0.0006298,              0.0006298
                     38,                 0.8371,                0.76178,                 1.1186,                0.78397,                0.71137,                0.77926,                0.61885,                0.81369,                0.96656,                 1.0737,             0.00061605,             0.00061605,             0.00061605
                     39,                0.83469,                0.76132,                 1.1126,                0.77422,                0.72106,                0.76186,                0.56456,                0.82097,                0.99717,                 1.0581,              0.0006023,              0.0006023,              0.0006023
                     40,                0.82539,                0.74795,                 1.1027,                  0.773,                0.76791,                0.77507,                0.60945,                0.82208,                0.98747,                 1.0788,             0.00058855,             0.00058855,             0.00058855
                     41,                 0.8191,                0.73932,                 1.1034,                0.70944,                0.72783,                0.67657,                0.53009,                0.83264,                0.99848,                 1.1095,              0.0005748,              0.0005748,              0.0005748
                     42,                0.80393,                0.71497,                 1.0998,                0.79382,                0.73849,                0.78461,                0.64192,                0.81985,                 0.9829,                 1.0821,             0.00056105,             0.00056105,             0.00056105
                     43,                0.80422,                0.70413,                 1.0884,                0.83042,                0.72455,                0.78832,                0.58171,                0.83048,                0.93529,                 1.0907,             0.00054731,             0.00054731,             0.00054731
                     44,                 0.8061,                0.70889,                 1.0932,                 0.7213,                 0.7668,                0.76679,                0.60489,                0.80482,                 1.0576,                 1.0738,             0.00053356,             0.00053356,             0.00053356
                     45,                0.79593,                0.69911,                 1.0912,                0.68624,                0.78703,                0.77113,                0.61399,                0.82306,                 1.0467,                 1.0974,             0.00051981,             0.00051981,             0.00051981
                     46,                0.79637,                0.69035,                 1.0851,                 0.8003,                0.75587,                0.78231,                0.60619,                0.83417,                 1.0352,                 1.1218,             0.00050606,             0.00050606,             0.00050606
                     47,                0.78286,                0.67589,                 1.0822,                0.76882,                0.72171,                0.76798,                0.62641,                0.81907,                 1.0559,                 1.0853,             0.00049231,             0.00049231,             0.00049231
                     48,                0.77363,                0.65738,                 1.0744,                0.76557,                0.73707,                0.76779,                0.62694,                0.81789,                 1.0552,                 1.1008,             0.00047856,             0.00047856,             0.00047856
                     49,                0.77685,                0.65266,                 1.0772,                0.78779,                0.72234,                0.76608,                0.63511,                0.79188,                 1.1479,                 1.0746,             0.00046481,             0.00046481,             0.00046481
                     50,                0.77156,                0.64572,                 1.0735,                0.69188,                0.79052,                0.77305,                  0.637,                0.79181,                 1.0014,                 1.0714,             0.00045107,             0.00045107,             0.00045107
                     51,                 0.7636,                0.64016,                 1.0739,                0.76393,                0.76199,                0.78203,                0.65329,                0.80151,                 1.0034,                 1.0645,             0.00043732,             0.00043732,             0.00043732
                     52,                0.75659,                0.62539,                 1.0679,                0.78661,                0.74697,                0.77701,                0.62002,                 0.7895,                0.95009,                 1.0634,             0.00042357,             0.00042357,             0.00042357
                     53,                0.76203,                0.61688,                 1.0672,                0.69254,                0.80208,                0.79403,                0.63104,                0.81208,                0.94783,                 1.0767,             0.00040982,             0.00040982,             0.00040982
                     54,                0.75519,                0.60467,                 1.0592,                0.78559,                0.79066,                0.79073,                0.61599,                0.79722,                 1.0268,                  1.047,             0.00039607,             0.00039607,             0.00039607
                     55,                0.75482,                0.60055,                 1.0577,                0.81498,                0.76276,                0.79292,                0.65091,                0.80772,                0.96192,                 1.0625,             0.00038232,             0.00038232,             0.00038232
                     56,                0.73793,                0.59398,                 1.0499,                0.77337,                0.76237,                 0.7983,                 0.6221,                0.78896,                0.92496,                 1.0573,             0.00036857,             0.00036857,             0.00036857
                     57,                0.74135,                0.59178,                 1.0532,                0.82202,                0.75698,                0.80986,                0.65127,                0.79817,                0.89025,                 1.0687,             0.00035483,             0.00035483,             0.00035483
                     58,                0.73588,                0.57966,                 1.0464,                 0.8416,                0.74472,                0.79452,                0.63366,                0.79751,                0.95311,                 1.0527,             0.00034108,             0.00034108,             0.00034108
                     59,                0.72155,                0.56782,                  1.038,                0.79775,                0.77567,                0.78856,                0.61052,                 0.8185,                0.97145,                 1.0845,             0.00032733,             0.00032733,             0.00032733
                     60,                0.72182,                0.56352,                 1.0413,                0.79565,                 0.7354,                 0.7767,                0.56049,                0.79278,                0.96509,                 1.0663,             0.00031358,             0.00031358,             0.00031358
                     61,                0.71433,                0.55935,                 1.0382,                0.83543,                0.79228,                0.79475,                0.65974,                0.79434,                0.95721,                 1.0668,             0.00029983,             0.00029983,             0.00029983
                     62,                0.69989,                0.53656,                 1.0226,                0.78089,                0.78111,                0.78412,                0.64642,                 0.8117,                0.94438,                  1.098,             0.00028608,             0.00028608,             0.00028608
                     63,                0.70217,                0.54368,                 1.0356,                0.82514,                0.78222,                0.78574,                0.62856,                 0.8048,                0.97154,                 1.0741,             0.00027233,             0.00027233,             0.00027233
                     64,                 0.7102,                0.54974,                 1.0375,                0.78011,                0.76093,                0.77891,                0.64239,                0.80569,                 0.9926,                 1.0687,             0.00025859,             0.00025859,             0.00025859
                     65,                0.69494,                0.51613,                 1.0237,                0.78658,                0.79917,                0.78897,                0.65672,                0.78984,                0.95838,                 1.0629,             0.00024484,             0.00024484,             0.00024484
                     66,                0.69274,                0.52621,                 1.0244,                0.81456,                0.78733,                 0.7982,                0.65762,                0.79516,                0.94329,                 1.0737,             0.00023109,             0.00023109,             0.00023109
                     67,                0.68214,                0.51147,                 1.0182,                0.64604,                0.84016,                0.70001,                0.52895,                 0.7996,                0.91534,                  1.077,             0.00021734,             0.00021734,             0.00021734
                     68,                 0.6771,                0.50238,                 1.0172,                 0.7324,                0.79393,                0.79494,                0.66083,                0.79361,                0.97255,                 1.0608,             0.00020359,             0.00020359,             0.00020359
                     69,                0.67894,                0.50014,                  1.013,                 0.8125,                 0.7757,                0.79105,                0.65731,                0.80028,                0.93543,                 1.0672,             0.00018984,             0.00018984,             0.00018984
                     70,                0.67612,                0.49549,                  1.017,                 0.6856,                0.83338,                0.69627,                0.52114,                0.80791,                0.93478,                 1.0733,             0.00017609,             0.00017609,             0.00017609
                     71,                0.64183,                0.38547,                0.95542,                0.76692,                0.80957,                0.78188,                0.67391,                0.82333,                0.97739,                 1.0934,             0.00016234,             0.00016234,             0.00016234
                     72,                0.62723,                 0.3644,                0.95214,                0.79666,                0.76149,                0.78559,                0.66213,                0.81322,                0.94509,                 1.0876,              0.0001486,              0.0001486,              0.0001486
                     73,                0.61969,                0.36035,                0.94845,                0.81947,                0.79447,                  0.799,                0.67651,                0.78782,                0.91485,                 1.0512,             0.00013485,             0.00013485,             0.00013485
                     74,                0.61535,                0.35359,                0.94622,                0.82452,                0.79007,                0.79783,                0.66943,                0.79224,                0.90821,                 1.0554,              0.0001211,              0.0001211,              0.0001211
                     75,                0.60656,                 0.3488,                0.94523,                0.77282,                0.80966,                0.80181,                0.65302,                0.81079,                  0.902,                 1.0862,             0.00010735,             0.00010735,             0.00010735
                     76,                0.60422,                0.34587,                0.94301,                  0.801,                0.77714,                 0.7847,                0.63839,                0.78995,                0.92626,                  1.061,             9.3602e-05,             9.3602e-05,             9.3602e-05
                     77,                0.59361,                0.32907,                0.93577,                0.79959,                0.79927,                0.79304,                0.62814,                0.80038,                 0.8967,                  1.084,             7.9853e-05,             7.9853e-05,             7.9853e-05
                     78,                0.59153,                0.33207,                0.93881,                0.81154,                0.80135,                0.79442,                0.66634,                0.79825,                0.91944,                 1.0847,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     79,                0.58533,                  0.326,                0.93207,                0.82006,                0.80556,                0.80062,                0.67021,                0.79728,                 0.8959,                 1.0756,             5.2356e-05,             5.2356e-05,             5.2356e-05
                     80,                0.58629,                0.32005,                0.93464,                0.83093,                0.79813,                0.80337,                0.67468,                0.80239,                0.89613,                 1.0829,             3.8607e-05,             3.8607e-05,             3.8607e-05
