                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3792,                 4.7865,                 3.9527,                0.80673,                0.01108,                0.00261,                0.00095,                 2.8762,                 4.7205,                 3.5474,             0.00036928,             0.00036928,             0.00036928
                      2,                  2.778,                  4.082,                 3.1245,                0.62722,                0.02216,                0.01208,                0.00526,                 2.5177,                 4.0782,                 2.8628,             0.00072497,             0.00072497,             0.00072497
                      3,                 2.3189,                 3.4624,                 2.6209,                0.84037,                0.04198,                0.02963,                 0.0141,                 2.0779,                  3.312,                 2.3697,               0.001066,               0.001066,               0.001066
                      4,                 2.0316,                 3.0703,                 2.2971,                0.47076,                0.08811,                0.05123,                0.02825,                 1.8621,                 2.8746,                 2.1042,               0.001045,               0.001045,               0.001045
                      5,                 1.8564,                 2.7845,                 2.0918,                0.33769,                0.12214,                0.08954,                0.04822,                 1.6801,                 2.5695,                 1.9233,               0.001045,               0.001045,               0.001045
                      6,                 1.7626,                 2.6139,                  1.974,                0.35753,                0.17573,                0.10616,                0.05749,                 1.5831,                   2.43,                 1.8296,               0.001023,               0.001023,               0.001023
                      7,                 1.6928,                 2.5012,                 1.9017,                0.44084,                0.18519,                0.16353,                0.09131,                 1.5282,                 2.4655,                  1.773,               0.001001,               0.001001,               0.001001
                      8,                 1.6173,                 2.3469,                 1.8226,                0.41204,                0.27952,                0.18875,                0.09992,                  1.442,                 2.4288,                 1.6384,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.5778,                 2.2879,                 1.7903,                0.61879,                0.21628,                0.21147,                0.11088,                 1.4714,                 2.3991,                 1.6628,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.5439,                  2.232,                 1.7493,                0.51624,                0.29958,                0.27877,                0.17282,                 1.4068,                 2.0713,                 1.6207,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.5072,                 2.1583,                 1.7179,                0.53189,                0.28293,                0.27371,                0.17582,                  1.346,                 1.9641,                 1.5853,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.4731,                 2.0897,                 1.6811,                0.49527,                0.36436,                0.31112,                0.19395,                 1.3541,                 1.9492,                 1.5623,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.4581,                 2.0159,                 1.6537,                0.53317,                0.36204,                0.33471,                0.22257,                 1.2878,                 1.9284,                 1.5019,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.4516,                 2.0357,                 1.6545,                0.68016,                 0.3434,                0.36656,                0.22874,                 1.3108,                 1.8038,                 1.5375,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.4218,                 1.9559,                 1.6246,                0.57607,                0.35192,                0.36614,                0.23479,                 1.2592,                  1.875,                 1.4942,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.3993,                 1.9313,                 1.5988,                0.63112,                0.39078,                0.38462,                0.25778,                 1.2346,                 1.8618,                 1.4823,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.3773,                 1.8728,                 1.5904,                0.75129,                0.32428,                0.37926,                0.23836,                 1.2427,                 1.7731,                  1.479,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.3542,                 1.8424,                 1.5659,                0.72206,                0.32439,                0.39117,                0.25592,                 1.2409,                 1.7265,                 1.4656,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.3473,                 1.8286,                 1.5517,                0.30189,                0.41666,                0.37442,                0.24648,                 1.1997,                 1.7271,                 1.4283,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.3306,                 1.7807,                 1.5424,                0.63678,                0.40274,                0.40946,                0.28721,                 1.1704,                 1.6332,                 1.4182,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.3156,                 1.7465,                 1.5316,                0.42578,                0.42617,                0.40223,                0.26023,                 1.2057,                 1.6841,                 1.4314,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.3134,                  1.738,                 1.5123,                0.70591,                0.39923,                0.42814,                0.29307,                  1.165,                 1.7232,                 1.3904,             0.00067104,             0.00067104,             0.00067104
                     23,                  1.304,                 1.7114,                 1.5109,                0.67002,                0.42392,                0.45341,                0.30291,                 1.1591,                 1.5302,                 1.3996,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.2847,                 1.6636,                 1.5031,                0.71982,                0.42558,                0.45059,                0.29196,                 1.1799,                 1.6842,                 1.4079,             0.00064905,             0.00064905,             0.00064905
                     25,                  1.277,                 1.6461,                 1.4938,                0.39523,                0.48787,                0.44755,                0.30178,                 1.1312,                 1.6327,                 1.3778,             0.00060505,             0.00060505,             0.00060505
                     26,                  1.254,                 1.6229,                 1.4797,                0.69152,                0.45504,                0.46954,                0.33076,                 1.1439,                 1.5397,                 1.3832,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.2646,                 1.6492,                 1.4846,                0.64272,                0.47592,                0.45256,                0.31426,                 1.1116,                 1.5224,                 1.3571,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.2437,                 1.5928,                 1.4634,                0.67949,                0.47384,                 0.4826,                0.33951,                 1.0948,                 1.4771,                 1.3407,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.2554,                 1.5816,                 1.4628,                0.61985,                0.47407,                0.45042,                0.32662,                 1.0962,                 1.5049,                 1.3504,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.2454,                 1.5598,                 1.4638,                0.65762,                0.45608,                0.46795,                0.32473,                 1.0898,                 1.5157,                 1.3409,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.2247,                 1.5118,                 1.4449,                0.65674,                0.49326,                0.47381,                0.33081,                 1.0852,                 1.4739,                 1.3212,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.2183,                 1.5131,                 1.4482,                0.71568,                0.49155,                0.47865,                0.33616,                 1.0876,                  1.525,                 1.3261,             0.00045107,             0.00045107,             0.00045107
                     33,                  1.206,                 1.5026,                 1.4314,                0.75632,                0.47448,                0.49178,                0.34952,                 1.0733,                 1.3836,                 1.3359,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.1985,                 1.4668,                 1.4282,                0.55413,                0.50978,                0.50311,                0.35389,                 1.0758,                 1.4228,                 1.3177,             0.00040707,             0.00040707,             0.00040707
                     35,                  1.182,                  1.444,                 1.4168,                0.77099,                0.47159,                0.50259,                0.36388,                 1.0628,                  1.371,                 1.3081,             0.00038507,             0.00038507,             0.00038507
                     36,                  1.181,                 1.4186,                  1.402,                0.52612,                0.48461,                0.50663,                0.36833,                 1.0773,                 1.3418,                 1.3242,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.1897,                 1.4441,                 1.4172,                0.53677,                0.50597,                0.49987,                0.35802,                 1.0908,                  1.412,                 1.3365,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.1718,                 1.4145,                 1.4032,                0.71945,                0.50601,                0.50249,                0.36505,                 1.0463,                 1.4227,                 1.3008,             0.00031908,             0.00031908,             0.00031908
                     39,                  1.167,                  1.397,                 1.3908,                0.54419,                0.50316,                0.52122,                0.36622,                  1.054,                 1.4032,                 1.2918,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.1562,                 1.3707,                 1.3938,                0.58199,                0.72466,                 0.5984,                 0.4137,                  1.047,                  1.392,                 1.2975,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.1307,                 1.2405,                 1.3553,                0.51803,                0.51317,                0.52318,                0.38007,                 1.0536,                 1.3366,                 1.2952,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.1062,                 1.1726,                 1.3389,                0.55396,                0.50783,                0.53244,                0.38448,                 1.0405,                 1.3014,                 1.2813,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.0935,                 1.1617,                 1.3376,                0.76705,                 0.4597,                0.51335,                0.37666,                 1.0372,                 1.3117,                 1.2819,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.0906,                 1.1391,                 1.3193,                0.76683,                0.49333,                0.54327,                 0.3994,                 1.0411,                 1.2928,                 1.2824,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.0854,                 1.1241,                 1.3206,                0.59852,                0.71856,                 0.6217,                0.41101,                 1.0212,                   1.28,                   1.27,             0.00016509,             0.00016509,             0.00016509
