                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2851,                 3.5661,                 4.2686,                0.00329,                0.69595,                0.03732,                0.01074,                 3.2401,                 3.7545,                 4.1583,                0.00014,                0.00014,                0.00014
                      2,                 3.2654,                 3.5703,                 4.2422,                0.00335,                0.68919,                0.09263,                0.02261,                 3.2361,                 3.7524,                 4.1537,             0.00029703,             0.00029703,             0.00029703
                      3,                 3.3664,                 3.6071,                 4.1805,                0.00339,                 0.7027,                0.09628,                0.02432,                 3.2286,                 3.7496,                 4.1455,             0.00045089,             0.00045089,             0.00045089
                      4,                 3.4329,                 3.6366,                 4.1746,                0.00337,                0.69595,                0.06494,                0.01596,                 3.2106,                 3.7365,                 4.1271,             0.00060159,             0.00060159,             0.00060159
                      5,                 3.2493,                 3.5766,                 4.1233,                0.00341,                0.71622,                0.07201,                0.01927,                 3.1908,                 3.7165,                 4.0931,             0.00074911,             0.00074911,             0.00074911
                      6,                 3.3932,                  3.553,                 4.1018,                0.00318,                0.68243,                0.05588,                0.01457,                 3.2145,                 3.7115,                 4.0134,             0.00089347,             0.00089347,             0.00089347
                      7,                 3.1502,                 3.4313,                 4.0279,                0.00308,                0.68919,                0.04214,                0.00825,                 3.3508,                 3.7728,                 4.1237,              0.0010347,              0.0010347,              0.0010347
                      8,                 3.2437,                 3.5657,                 3.9719,                0.01223,                0.60135,                0.04507,                 0.0119,                 3.3184,                 4.0578,                 4.1453,              0.0011727,              0.0011727,              0.0011727
                      9,                  3.178,                 3.4704,                 3.9158,                0.01911,                 0.5473,                0.03433,                0.00937,                  3.299,                 5.0397,                 4.2048,              0.0013075,              0.0013075,              0.0013075
                     10,                 3.1982,                 3.4813,                 3.8704,                0.00341,                0.69595,                0.03503,                0.01223,                 3.4185,                 3.5432,                 4.2988,              0.0014392,              0.0014392,              0.0014392
                     11,                 3.0917,                 3.4848,                 3.8004,                0.00302,                 0.7027,                0.00853,                0.00204,                 3.4182,                  3.575,                 4.1504,              0.0015677,              0.0015677,              0.0015677
                     12,                 3.0816,                 3.4711,                 3.6806,                0.00527,                0.62162,                0.05174,                0.01637,                 3.4659,                 3.6984,                 5.2336,              0.0016931,              0.0016931,              0.0016931
                     13,                 2.9907,                 3.5001,                 3.6968,                0.00761,                0.33108,                0.01024,                0.00317,                 3.8588,                 4.0721,                 5.3863,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.9276,                 3.4185,                 3.6501,                0.00455,                0.62162,                0.01578,                0.00396,                 3.6514,                 3.9502,                 12.073,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.9488,                 3.6033,                 3.4765,                0.09487,                0.12838,                0.06375,                0.01878,                 3.3014,                 5.3378,                 10.715,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.8911,                 3.3964,                 3.5182,                0.02966,                 0.0473,                0.01774,                0.00533,                 3.0171,                 3.5949,                 5.1816,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.9057,                  3.437,                  3.508,                0.05078,                0.03378,                0.03028,                0.00764,                 2.8407,                  3.638,                  3.579,               0.001703,               0.001703,               0.001703
                     18,                 2.8307,                 3.4427,                 3.3971,                0.08671,                0.05405,                 0.0383,                0.00754,                 2.8829,                 3.7882,                 3.5674,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.7778,                 3.3696,                 3.3922,                0.17599,                0.03378,                0.03745,                0.00755,                 2.8518,                 4.0601,                  3.589,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.8796,                 3.3928,                 3.3916,                0.04538,                0.03378,                0.02057,                0.00501,                 2.9439,                 3.7071,                 3.5625,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.9625,                 3.3517,                 3.4484,                0.06655,                0.04054,                0.02458,                0.00498,                 2.9061,                 3.8637,                 3.6313,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.8242,                 3.4338,                 3.4128,                0.02708,                0.06081,                0.01325,                0.00335,                  2.856,                 4.3239,                 3.6913,               0.001604,               0.001604,               0.001604
                     23,                 2.8723,                 3.3904,                 3.3965,                0.01741,                0.14865,                0.01597,                 0.0037,                 2.8521,                 4.2843,                 3.4341,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.8208,                 3.3852,                 3.3615,                0.00359,                0.83784,                0.01906,                0.00405,                 2.8242,                 3.8604,                 3.4032,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.7512,                 3.3424,                 3.3143,                0.01448,                0.41892,                0.01668,                0.00376,                 2.7779,                 3.9427,                 3.3985,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.7176,                 3.3877,                 3.3619,                0.02244,                0.06757,                0.01648,                0.00487,                 2.7901,                 4.0788,                 3.3648,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.8448,                 3.3002,                 3.4066,                0.05455,                0.09396,                0.02424,                 0.0061,                 2.7391,                 4.1506,                 3.3127,               0.001505,               0.001505,               0.001505
