                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                 2.7604,                   3.31,                  3.331,                0.03334,                0.10811,                0.02952,                0.00787,                  2.711,                 4.1682,                   3.39,              0.0014852,              0.0014852,              0.0014852
                     29,                  2.755,                  3.267,                 3.3119,                0.02897,                0.09459,                  0.024,                0.00606,                  2.723,                 4.1766,                 3.2675,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.7729,                 3.3478,                 3.2908,                0.02504,                0.07432,                0.01842,                 0.0043,                 2.7607,                 4.0945,                 3.2104,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.7053,                 3.3259,                 3.2701,                0.04036,                 0.0473,                0.02812,                0.00653,                 2.8027,                 4.0134,                 3.1976,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.6815,                 3.2534,                 3.2288,                0.06078,                0.08701,                0.03114,                0.00673,                 2.8146,                 4.0759,                 3.3404,               0.001406,               0.001406,               0.001406
                     33,                 2.7548,                 3.3793,                 3.2137,                  0.045,                 0.0473,                0.02868,                0.00622,                 2.7666,                 4.1515,                 3.4187,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.6813,                 3.2824,                 3.2514,                0.11423,                0.06081,                0.05728,                0.01186,                 2.7266,                 3.9814,                 3.2717,              0.0013664,              0.0013664,              0.0013664
                     35,                  2.752,                 3.2698,                 3.2847,                0.08296,                0.21622,                0.05453,                0.01468,                 2.7398,                 3.8925,                 3.2307,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.7445,                 3.2271,                 3.2653,                0.08172,                0.16892,                0.05164,                0.01388,                 2.7114,                 3.6889,                 3.2062,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.6893,                 3.2053,                 3.1958,                0.10167,                0.15541,                0.05224,                0.01206,                 2.6883,                 3.5938,                 3.2091,               0.001307,               0.001307,               0.001307
                     38,                  2.766,                 3.2946,                 3.2307,                0.06795,                0.08108,                0.03347,                0.00798,                 2.7127,                 3.7217,                 3.2307,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.7431,                 3.2854,                 3.1755,                0.08831,                0.10811,                0.04374,                0.01079,                  2.664,                 3.7289,                 3.1572,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.7023,                 3.2787,                 3.2338,                0.15838,                0.05405,                0.04087,                0.01162,                 2.5959,                 3.8142,                   3.09,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.6385,                  3.325,                 3.1733,                0.09098,                0.04054,                0.03628,                0.01103,                 2.5787,                  3.754,                 3.0593,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.6806,                 3.2526,                 3.1828,                0.07222,                0.09459,                 0.0627,                 0.0175,                  2.549,                 3.6847,                 3.0239,               0.001208,               0.001208,               0.001208
                     43,                 2.7373,                 3.3751,                 3.1775,                0.08259,                0.10811,                 0.0743,                0.01794,                 2.6214,                 3.5108,                 3.0588,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.6054,                 3.2005,                 3.1295,                0.08832,                0.10135,                0.05939,                0.01519,                 2.6679,                 3.5088,                 3.1088,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.6293,                 3.1712,                 3.1276,                 0.0845,                0.08784,                0.06036,                0.01447,                 2.6753,                  3.483,                 3.1138,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.7053,                 3.1422,                 3.1256,                0.10123,                0.10135,                 0.0582,                0.01518,                 2.5914,                 3.4354,                  3.066,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.6302,                 3.2164,                 3.1209,                0.07057,                0.06757,                 0.0617,                0.01868,                 2.5847,                 3.4179,                 3.0564,               0.001109,               0.001109,               0.001109
                     48,                 2.5875,                 3.1297,                  3.076,                0.13318,                 0.0473,                0.06119,                0.01758,                 2.5975,                 3.5306,                 3.0455,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.6138,                 3.2242,                 3.1146,                0.05493,                0.05405,                0.05739,                 0.0149,                 2.6551,                 3.5911,                  3.128,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.6488,                 3.2268,                 3.1018,                0.03892,                0.08108,                 0.0492,                0.01097,                 2.6775,                 3.7548,                 3.1826,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.6459,                  3.141,                 3.0469,                0.07445,                0.19595,                0.05078,                0.01279,                 2.5725,                 3.8163,                 3.0861,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.6954,                 3.1976,                 3.1256,                0.07472,                0.10135,                0.06699,                0.01762,                 2.4975,                 3.6947,                  3.004,                0.00101,                0.00101,                0.00101
                     53,                 2.6949,                 3.2485,                 3.1855,                 0.1131,                0.10135,                0.07485,                0.02143,                 2.4685,                 3.4172,                 2.9879,              0.0009902,              0.0009902,              0.0009902
