                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1117,                 3.4382,                 4.1737,                0.00472,                0.68154,                0.09152,                0.03073,                 2.7819,                 3.4272,                 4.1147,                0.00056,                0.00056,                0.00056
                      2,                 3.1087,                 3.3481,                 4.0207,                0.00448,                0.68034,                0.05579,                 0.0186,                 2.7587,                 3.4161,                 3.8373,              0.0007638,              0.0007638,              0.0007638
                      3,                 3.0356,                 3.2397,                 3.8261,                0.03849,                0.45476,                0.04405,                0.01442,                 2.7754,                 3.6927,                  3.781,              0.0005848,              0.0005848,              0.0005848
