                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.59,                 1.8098,                 2.1086,                0.59634,                0.54353,                0.54836,                0.29109,                 1.5572,                 1.7667,                 2.1632,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5647,                 1.7491,                 2.0741,                0.63773,                0.53317,                 0.5886,                0.32598,                 1.5026,                  1.692,                 2.1067,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5288,                 1.7295,                 2.0361,                0.67271,                0.56333,                0.61051,                0.34005,                 1.4797,                 1.6746,                 2.0809,               0.000614,               0.000614,               0.000614
                     38,                 1.5216,                 1.7165,                 2.0356,                0.70655,                 0.5585,                0.61745,                0.34639,                 1.4621,                 1.6342,                 2.0624,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5235,                 1.7191,                  2.037,                0.66146,                0.57419,                0.60514,                0.34283,                 1.4346,                 1.6102,                 2.0208,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5258,                  1.683,                 2.0388,                0.64887,                0.55282,                  0.604,                0.35963,                 1.4248,                 1.6141,                 2.0232,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4557,                 1.8125,                 2.0545,                0.69174,                0.57419,                0.64255,                0.36464,                 1.4469,                 1.6528,                 2.0254,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4233,                  1.679,                 2.0319,                0.72068,                0.57901,                0.65216,                0.37599,                 1.4128,                 1.5529,                 1.9754,               0.000416,               0.000416,               0.000416
                     43,                 1.4493,                 1.6444,                   2.04,                0.68796,                0.59572,                0.63868,                0.37563,                 1.4036,                 1.5519,                 1.9882,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4146,                 1.5668,                 1.9878,                0.67274,                0.60676,                0.62711,                0.35273,                 1.3788,                 1.5862,                 1.9547,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.3939,                 1.5679,                 1.9878,                0.74218,                0.60796,                0.67494,                0.40686,                 1.3211,                 1.5072,                 1.9067,              0.0002972,              0.0002972,              0.0002972
                     46,                  1.328,                 1.5133,                 1.9511,                0.73531,                 0.6152,                0.67909,                0.41404,                 1.3205,                 1.4946,                 1.9054,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.3574,                 1.5241,                 1.9494,                0.75312,                0.60718,                0.69534,                0.43027,                 1.3079,                 1.4434,                 1.8788,               0.000218,               0.000218,               0.000218
                     48,                 1.3391,                 1.5161,                 1.9329,                0.75751,                0.63307,                0.70841,                0.44392,                 1.2831,                 1.4215,                  1.851,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.3379,                 1.4987,                 1.9264,                0.72698,                0.62955,                0.70236,                0.44005,                 1.2832,                 1.4215,                 1.8546,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.3139,                  1.467,                 1.9119,                0.77281,                0.62726,                0.71946,                0.45723,                 1.2515,                 1.3731,                 1.8325,               9.92e-05,               9.92e-05,               9.92e-05
